Absolute Magnitude,Est Dia in KM(min),Relative Velocity km per sec,Miss Dist.(Astronomical),Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
21.6,0.1272198785,6.1158343887,0.4194825299,5,0.0252819,4.634,2458000.5,0.4255490832802685,1.407011302712976,6.025981287138329,314.3739134134077,609.599786407648,0.808258932678493,57.25746987539545,2.005763672747459,2458161.6417204863,264.8375332988031,0.5905513880204395,1
21.3,0.1460679643,18.1139850263,0.3830144627,3,0.186935,5.457,2458000.5,0.3516743045868617,1.10777595443772,28.41299637199041,136.7172416568082,425.8692942066788,0.7181996160227876,313.0919748302692,1.497352292852652,2457794.969431285,173.7411119891742,0.8453297875598617,0
20.3,0.2315021222,7.5907111617,0.0509560159,0,0.0430579,4.557,2458000.5,0.3482482617619956,1.458823814474811,4.237961002947924,259.4759789450263,643.580228077368,0.950790956866954,248.4150381128607,1.966856672082667,2458120.4675489054,292.8936537794408,0.5593708201314143,1
27.4,0.0088014652,11.1738744976,0.2853223297,6,0.0055118,5.093,2458000.5,0.2165783078378784,1.255902889613577,7.905894348125122,57.17326613388248,514.0821403654488,0.9839015669723666,18.70770087172089,1.527904212254787,2457902.3374338527,68.74100661777578,0.7002771964497434,0
21.6,0.1272198785,9.8408310539,0.4078321707,1,0.034798,5.154,2458000.5,0.2104479432284866,1.225614736618327,16.79338165999116,84.62930679460825,495.597820944911,0.9676866361064762,158.2635960713293,1.483542837130177,2457814.455148689,135.1421326756292,0.7263954456329549,1
19.6,0.3195618867,10.8088439585,0.3927847844,1,0.272213,4.724,2458000.5,0.5634410734978924,1.323532179970776,17.92775064011703,178.9719507770034,556.1605558442809,0.5777997876790363,198.1459691510273,2.069264572262516,2458009.402634515,354.2373683433312,0.6472950953048102,0
19.6,0.3195618867,10.8088415879,0.392783196,1,0.272213,4.724,2458000.5,0.5634411100746358,1.323532161963902,17.92774837902645,178.9719525667907,556.1605444942963,0.5777997314074783,198.1459598526758,2.069264592520325,2458009.4025913575,354.237396160877,0.6472951085146458,0
19.2,0.3841978911,24.4218839949,0.1291791611,0,0.0987582,4.921,2458000.5,0.4497627959965093,1.237474536298783,34.69512745281478,112.5629844130883,502.8087578997973,0.6809045288785588,288.3746511156045,1.794044543719008,2458242.439098669,186.7769322776995,0.7159779823718642,0
17.8,0.7320739893,17.373783837,0.3582829267,0,0.109354,5.386,2458000.5,0.2381790104348694,1.145550849266033,22.21521029077527,80.21113209162255,447.8370128477652,0.8727046815850249,353.4223941040977,1.418397016947041,2458221.636404156,182.2364315309588,0.803863882779104,0
21.5,0.1332155667,12.8996097219,0.1518057418,0,0.0169065,6.623,2458000.5,0.551388806833007,0.8761253667964827,2.059576978010798,2.613682368506762,299.5351607368495,0.3930396461624395,253.7659371965322,1.359211087430526,2457900.7702821824,119.8613823033982,1.201862242530755,1
